"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"551",0,0,0,0,1,0,0,0,0,1
"552",1,0,1,1,0,1,0,0,1,0
"553",1,0,0,0,0,0,0,0,1,0
"554",1,0,0,1,0,0,1,0,1,0
"555",0,1,0,0,0,0,0,0,0,0
"556",0,0,0,0,1,0,0,0,0,1
"557",1,1,1,1,1,1,0,2,1,2
"558",0,1,0,1,0,0,0,0,0,0
"559",0,2,0,0,1,0,0,2,0,1
"560",0,0,0,0,0,0,0,0,0,0
"561",0,1,0,1,0,0,0,0,0,1
"562",0,0,0,0,1,0,0,0,0,1
"563",0,0,0,0,0,0,0,0,0,1
"564",1,1,1,1,1,0,0,3,1,2
"565",1,1,1,1,0,2,0,0,4,0
"566",2,2,1,1,2,0,0,4,1,4
"567",0,0,0,0,0,0,0,0,0,0
"568",0,0,0,0,1,0,0,0,0,1
"569",0,0,0,0,0,0,0,1,0,0
"570",0,0,0,0,1,0,0,0,0,1
"571",0,0,0,0,0,0,0,0,0,0
"572",1,0,1,1,0,1,0,0,1,0
"573",2,0,0,2,0,1,1,0,3,0
"574",0,0,0,0,1,0,0,0,0,1
"575",1,0,0,0,0,0,0,0,1,0
"576",0,0,0,0,0,1,0,0,1,0
"577",0,1,0,0,0,0,0,0,0,0
"578",0,1,0,0,0,0,0,0,0,0
"579",0,0,0,0,1,0,0,0,0,1
"580",0,1,1,0,1,0,1,1,0,1
"581",0,0,0,0,0,0,0,0,0,0
"582",0,1,0,1,0,0,0,0,1,1
"583",0,1,0,0,1,0,0,1,0,1
"584",0,0,0,0,0,0,0,0,1,0
"585",0,1,0,0,1,0,0,1,1,1
"586",0,0,0,0,0,0,0,0,0,0
"587",0,0,0,0,0,0,0,0,0,0
"588",0,0,0,0,1,0,0,0,0,1
"589",0,0,0,0,0,0,0,0,0,0
"590",0,0,0,0,0,0,0,0,0,0
"591",0,0,0,0,1,0,0,0,0,1
"592",0,0,0,1,0,0,0,0,2,0
"593",0,0,0,0,0,0,0,0,0,0
"594",0,1,0,0,1,0,1,0,0,2
"595",0,0,0,0,0,0,0,0,0,0
"596",0,1,0,1,0,0,0,0,0,1
"597",0,0,0,0,0,0,0,0,0,0
"598",0,0,0,0,0,0,0,0,0,0
"599",1,0,1,1,0,1,0,0,1,0
"600",0,0,0,0,0,0,0,0,0,0
